originalLink,TweetLink
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterC0jN","t.co/sMYCHlNXbm?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterR2O9","t.co/OSRSh8baXA?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterioUu","t.co/Mtjj8hPOr3?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterGhPM","t.co/dfWLju6aTk?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitteroslr","t.co/oqjghKLyK8?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterySOR","t.co/JsofTZOH0U?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterZp4P","t.co/Vre7Yd50aa?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterwSQx","t.co/qsU3fFp1Kf?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterIGpC","t.co/75uIVV3EAg?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterrLDS","t.co/nVw5eQB1jZ?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterp7vo","t.co/ydF5JiOb0B?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterJcUG","t.co/uwXhmpCTaM?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterz997","t.co/x00zoA95dY?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterydJV","t.co/WjAEld98xN?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitter3LRE","t.co/sjLOanhWLc?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitter8bXh","t.co/orMdNEOinD?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twittereEpP","t.co/HYqi9DgHid?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterGXPi","t.co/eZh7nU6Avk?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterINAJ","t.co/SlqWbRdSj0?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterO2LC","t.co/6rEngJByYE?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitter6LBe","t.co/7PAyPTmGyQ?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitter5jiP","t.co/3tUYezwAx6?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterlTFR","t.co/rIbjsv3i8n?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterX3K3","t.co/6NSP9TVdKy?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterGCB6","t.co/gQj0tMRzpz?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterltgL","t.co/6m0FEDXKO1?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterNpv7","t.co/n7zDhjFZaP?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterE3bb","t.co/uSHvhZLx7f?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitter2u4q","t.co/uco7xnpe5x?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterLS9o","t.co/rZMKCpbce3?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterBxC7","t.co/xMubUpw8BR?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterkRjf","t.co/YVy3zb6wh0?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterNEKI","t.co/xYYGcN1jYB?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twittertQe6","t.co/k4og43W5BW?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitter0OkS","t.co/sju6aQIUGN?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterKUzF","t.co/h2hQZPzGHR?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twittersciX","t.co/ofw5CDSVBv?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twittergA2L","t.co/Iqk9mDrOkH?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterWtGk","t.co/jhbQrHo9Av?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterz6wx","t.co/LbwRHNEn9Q?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterufS1","t.co/BkImm8rCSp?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twittermt5V","t.co/v79niOJGtO?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterIG6N","t.co/yBSUh4zEBQ?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twittersKUx","t.co/kiGfQ4NpfQ?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterOpkh","t.co/STsRlVzepM?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twittermrW7","t.co/TRc661IZSc?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitter5yqJ","t.co/MaLXvEOMnT?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitteriu7c","t.co/qTLdGIhuLf?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterOdnR","t.co/CkfKKBeyqG?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterxyhH","t.co/VQ9xAZk2Wb?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterdwMh","t.co/aAuNED6etL?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterMO5V","t.co/XaYggozVNT?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterqIY4","t.co/UeMLgug21C?amp=1"
"http://enghbor.com/8b97be79-7037-427c-9e3f-a3900b3beb21?Domain=82twitterKJ3i","t.co/cY51nskvlp?amp=1"
